Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,8,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,..,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,141,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,110,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,182,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,205,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,248,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,281,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,540,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,492,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,..,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,..,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,..,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,..,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,117,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,115,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,206,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,223,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,219,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,260,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,500,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,467,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,..,6,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,..,1,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,..,1,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,53,2,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,153,2,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,101,3,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,197,3,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,183,4,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,211,4,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,372,5,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,351,5,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,11,1,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,89,2,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,111,2,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,144,3,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,198,3,2
